feature,importance
categorical__sprint_id_S4397,0.0
categorical__sprint_id_S4398,0.0
categorical__sprint_id_S4399,0.0
categorical__sprint_id_S4400,0.0
categorical__sprint_id_S4402,0.0
categorical__sprint_id_S4403,0.0
categorical__sprint_id_S4405,0.0
categorical__sprint_id_S4406,0.0
categorical__sprint_id_S4407,0.0
categorical__sprint_id_S4408,0.0
categorical__sprint_id_S4385,0.0
categorical__sprint_id_S4384,0.0
categorical__sprint_id_S4382,0.0
categorical__sprint_id_S437,0.0
categorical__sprint_id_S436,0.0
categorical__sprint_id_S4361,0.0
categorical__sprint_id_S4362,0.0
categorical__sprint_id_S4363,0.0
categorical__sprint_id_S4365,0.0
categorical__sprint_id_S4366,0.0
categorical__sprint_id_S4368,0.0
categorical__sprint_id_S4369,0.0
categorical__sprint_id_S4371,0.0
categorical__sprint_id_S4381,0.0
categorical__sprint_id_S4374,0.0
categorical__sprint_id_S4375,0.0
categorical__sprint_id_S4376,0.0
categorical__sprint_id_S4377,0.0
categorical__sprint_id_S4378,0.0
categorical__sprint_id_S4379,0.0
categorical__sprint_id_S438,0.0
categorical__sprint_id_S4380,0.0
categorical__sprint_id_S4052,0.0
categorical__sprint_id_S402,0.0
categorical__sprint_id_S4050,0.0
categorical__sprint_id_S3385,0.0
categorical__sprint_id_S3348,0.0
categorical__sprint_id_S335,0.0
categorical__sprint_id_S3350,0.0
categorical__sprint_id_S3351,0.0
categorical__sprint_id_S3353,0.0
categorical__sprint_id_S3355,0.0
categorical__sprint_id_S3357,0.0
categorical__sprint_id_S3359,0.0
categorical__sprint_id_S3360,0.0
categorical__sprint_id_S3361,0.0
categorical__sprint_id_S3362,0.0
categorical__sprint_id_S3364,0.0
categorical__sprint_id_S3365,0.0
categorical__sprint_id_S3366,0.0
categorical__sprint_id_S3367,0.0
categorical__sprint_id_S3368,0.0
categorical__sprint_id_S337,0.0
categorical__sprint_id_S3371,0.0
categorical__sprint_id_S3372,0.0
categorical__sprint_id_S3347,0.0
categorical__sprint_id_S3346,0.0
categorical__sprint_id_S3343,0.0
categorical__sprint_id_S3328,0.0
categorical__sprint_id_S3319,0.0
categorical__sprint_id_S332,0.0
categorical__sprint_id_S3320,0.0
categorical__sprint_id_S3323,0.0
categorical__sprint_id_S3324,0.0
categorical__sprint_id_S3325,0.0
categorical__sprint_id_S3326,0.0
categorical__sprint_id_S3327,0.0
categorical__sprint_id_S3329,0.0
categorical__sprint_id_S3341,0.0
categorical__sprint_id_S333,0.0
categorical__sprint_id_S3330,0.0
categorical__sprint_id_S3331,0.0
categorical__sprint_id_S3333,0.0
categorical__sprint_id_S3335,0.0
categorical__sprint_id_S3336,0.0
categorical__sprint_id_S3339,0.0
categorical__sprint_id_S334,0.0
categorical__sprint_id_S3379,0.0
categorical__sprint_id_S3389,0.0
categorical__sprint_id_S3317,0.0
categorical__sprint_id_S339,0.0
categorical__sprint_id_S3418,0.0
categorical__sprint_id_S3419,0.0
categorical__sprint_id_S342,0.0
categorical__sprint_id_S3422,0.0
categorical__sprint_id_S3423,0.0
categorical__sprint_id_S3424,0.0
categorical__sprint_id_S3425,0.0
categorical__sprint_id_S3426,0.0
categorical__sprint_id_S3427,0.0
categorical__sprint_id_S3429,0.0
categorical__sprint_id_S343,0.0
categorical__sprint_id_S3430,0.0
categorical__sprint_id_S3431,0.0
categorical__sprint_id_S3432,0.0
categorical__sprint_id_S3433,0.0
categorical__sprint_id_S3434,0.0
categorical__sprint_id_S3435,0.0
categorical__sprint_id_S3436,0.0
categorical__sprint_id_S3437,0.0
categorical__sprint_id_S3417,0.0
categorical__sprint_id_S3415,0.0
categorical__sprint_id_S3414,0.0
